timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674428007208,232,Ali select his flight-5,304,Not Modified,Thread Group 1-6,,true,,175,905,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428006645,566,Flight Selection,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-6,,false,,8244,5355,6,6,null,317,230,0
1674428022558,535,The process done by Fahmy,200,OK,Thread Group 1-4,text,true,,91401,3849,6,6,https://blazedemo.com/purchase.php,286,0,0
1674428022558,300,The process done by Fahmy-0,200,OK,Thread Group 1-4,text,true,,6715,646,6,6,https://blazedemo.com/purchase.php,286,0,0
1674428022862,231,The process done by Fahmy-1,200,OK,Thread Group 1-4,text,true,,83982,585,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,78,0,0
1674428022862,214,The process done by Fahmy-2,304,Not Modified,Thread Group 1-4,,true,,176,653,6,6,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428022862,192,The process done by Fahmy-3,304,Not Modified,Thread Group 1-4,,true,,176,655,6,6,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428022862,207,The process done by Fahmy-4,304,Not Modified,Thread Group 1-4,,true,,177,655,6,6,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428022862,203,The process done by Fahmy-5,304,Not Modified,Thread Group 1-4,,true,,175,655,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428006418,535,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,91401,3849,6,6,null,286,16141,0
1674428028548,623,The process done by Eslam,200,OK,Thread Group 1-3,text,true,,91401,3849,6,6,https://blazedemo.com/purchase.php,370,0,0
1674428028548,379,The process done by Eslam-0,200,OK,Thread Group 1-3,text,true,,6715,646,6,6,https://blazedemo.com/purchase.php,370,0,0
1674428028929,228,The process done by Eslam-1,200,OK,Thread Group 1-3,text,true,,83982,585,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,74,0,0
1674428028929,211,The process done by Eslam-2,304,Not Modified,Thread Group 1-3,,true,,176,653,6,6,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428028929,194,The process done by Eslam-3,304,Not Modified,Thread Group 1-3,,true,,176,655,6,6,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428028929,242,The process done by Eslam-4,304,Not Modified,Thread Group 1-3,,true,,177,655,6,6,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428028930,205,The process done by Eslam-5,304,Not Modified,Thread Group 1-3,,true,,175,655,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428006968,623,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,91401,3849,6,6,null,370,21582,0
1674428029560,587,The process done by Mostafa,200,OK,Thread Group 1-5,text,true,,91401,3849,6,6,https://blazedemo.com/purchase.php,346,0,0
1674428029560,362,The process done by Mostafa-0,200,OK,Thread Group 1-5,text,true,,6715,646,6,6,https://blazedemo.com/purchase.php,346,0,0
1674428029930,216,The process done by Mostafa-1,200,OK,Thread Group 1-5,text,true,,83982,585,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,72,0,0
1674428029930,205,The process done by Mostafa-2,304,Not Modified,Thread Group 1-5,,true,,176,653,6,6,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428029930,217,The process done by Mostafa-3,304,Not Modified,Thread Group 1-5,,true,,176,655,6,6,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428029931,212,The process done by Mostafa-4,304,Not Modified,Thread Group 1-5,,true,,177,655,6,6,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428029932,211,The process done by Mostafa-5,304,Not Modified,Thread Group 1-5,,true,,175,655,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428006869,587,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,91401,3849,6,6,null,346,22692,0
1674428031274,827,The process done by Omar,200,OK,Thread Group 1-1,text,true,,91401,3849,6,6,https://blazedemo.com/purchase.php,482,0,0
1674428031274,493,The process done by Omar-0,200,OK,Thread Group 1-1,text,true,,6715,646,6,6,https://blazedemo.com/purchase.php,482,0,0
1674428031769,332,The process done by Omar-1,200,OK,Thread Group 1-1,text,true,,83982,585,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,73,0,0
1674428031770,214,The process done by Omar-2,304,Not Modified,Thread Group 1-1,,true,,176,653,6,6,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428031770,205,The process done by Omar-3,304,Not Modified,Thread Group 1-1,,true,,176,655,6,6,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428031769,198,The process done by Omar-4,304,Not Modified,Thread Group 1-1,,true,,177,655,6,6,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428031769,193,The process done by Omar-5,304,Not Modified,Thread Group 1-1,,true,,175,655,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428007235,827,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,91401,3849,6,6,null,482,24041,0
1674428033425,560,Fahmy data,200,OK,Thread Group 1-4,text,true,,6699,4000,6,6,https://blazedemo.com/confirmation.php,286,0,0
1674428033425,306,Fahmy data-0,200,OK,Thread Group 1-4,text,true,,5780,747,6,6,https://blazedemo.com/confirmation.php,286,0,0
1674428033786,80,Fahmy data-1,304,Not Modified,Thread Group 1-4,,true,,215,635,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1674428033786,195,Fahmy data-2,304,Not Modified,Thread Group 1-4,,true,,176,653,6,6,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428033786,191,Fahmy data-3,304,Not Modified,Thread Group 1-4,,true,,176,655,6,6,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428033786,199,Fahmy data-4,304,Not Modified,Thread Group 1-4,,true,,177,655,6,6,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428033786,198,Fahmy data-5,304,Not Modified,Thread Group 1-4,,true,,175,655,6,6,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428023095,560,Enter your data,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,6699,4000,6,6,null,286,10332,0
1674428038389,533,The process done by Khaled,200,OK,Thread Group 1-2,text,true,,91401,3849,5,5,https://blazedemo.com/purchase.php,292,0,0
1674428038389,300,The process done by Khaled-0,200,OK,Thread Group 1-2,text,true,,6715,646,5,5,https://blazedemo.com/purchase.php,292,0,0
1674428038693,229,The process done by Khaled-1,200,OK,Thread Group 1-2,text,true,,83982,585,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,76,0,0
1674428038693,215,The process done by Khaled-2,304,Not Modified,Thread Group 1-2,,true,,176,653,5,5,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428038693,196,The process done by Khaled-3,304,Not Modified,Thread Group 1-2,,true,,176,655,5,5,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428038693,214,The process done by Khaled-4,304,Not Modified,Thread Group 1-2,,true,,177,655,5,5,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
